uuid,title,artist,date,src,w,h,restriction,tags
6b319db1-4376-46a6-858c-aaf522a743eb,,Wallace Smith,1922,/essays/relaxations-for-the-impotent/08-fantaziusmallare00hechrich_0016-edit.jpg,1524,754,,grotesque
4ebc617d-8e4b-4bd7-ba09-0bedd380bd3a,,Wallace Smith,1922,/essays/relaxations-for-the-impotent/09-fantaziusmallare00hechrich_0053-edit.jpg,2176,3554,,grotesque
1d1a14a9-b159-4807-a13a-4e073b55e962,,Wallace Smith,1922,/essays/relaxations-for-the-impotent/10-fantaziusmallare00hechrich_0073-edit.jpg,2176,3554,,grotesque
3c8f5a7d-2823-4ddb-b497-cde9867a22c7,From Notre-Dame,Henri Rivière,1888–1902,/collections/36-views-of-the-eiffel-tower/09-image_riviere_henri_de_notre-dame_g.22392-9_2023162.jpg,2380,2856,,gargoyles
4b406519-ec9d-46ef-a587-50c1284b5995,Gargolyes,,ca. 1875-1900,/collections/the-notre-dame-cathedral-in-art-1460-1921/32679206587_52df9e3afe_b.jpg,1024,877,,gargoyles
abc258bd-ab3b-47c2-a69b-a5e607a51436,Gargoyles,Adolphe Giraudon,ca. 1875,/collections/the-notre-dame-cathedral-in-art-1460-1921/46897560024_bc7e41524b_b.jpg,1024,773,,gargoyles
c8bf2895-c37b-4f92-b0f3-d8406d4fbca5,Virgin entirely furry like a bear presented to Charles IV,,1559,/collections/histoires-prodigieuses/histoires-prodigieuses-00004.jpg,2608,2792,,"beasts,human-animal-hybrid,hybrid-figures,supernatural"
1cad24bc-19b4-4485-afdb-43006d597534,Hare and hedgehog costumes worn by Hermann Oehlmann and an unknown person,Joseph Albert,1862,/collections/maskenfest/FM-2014-300-1028-5___Siegert-beschnitten-ONLINE.jpg,1543,2000,,human-animal-hybrid
8d2529c4-77bc-4bcd-9abe-3f652a12392a,Puss in Boots costume worn by Heinrich Lang,Joseph Albert,1862,/collections/maskenfest/FM-2014-300-1028-15___Siegert-beschnitten-ONLINE.jpg,1547,2000,,human-animal-hybrid
437f6aff-15d0-4180-ba50-a99015cbae1c,"Puss in Boots and other costumes worn by Heinrich, Eduard, and Clara Lang",Joseph Albert,1862,/collections/maskenfest/FM-2014-300-1028-13___Siegert-beschnitten-ONLINE.jpg,2000,1537,,human-animal-hybrid
5e52fc8d-70bb-41a8-bbb4-d3e0642d581b,The Unhealthy Pair,,1896,/collections/plain-home-talk/plainhometalkabo00foot_0077.jpg,2365,1342,,human-animal-hybrid
62a74b89-6301-4ddf-bf60-a29b62143cb4,Resolv’d on proclaiming a submarine feast.,,1809,/collections/mermaid-at-home/mermaid-1.jpeg,1000,794,,human-animal-hybrid
4c0ea009-0566-43ad-8417-d2face5df9b3,"The Sword and the Pike, the Sabre and Lance, were bravely employ’d against the legions of France.",,1809,/collections/mermaid-at-home/mermaid-2.jpeg,1000,817,,human-animal-hybrid
65187f0b-b6c7-467c-9678-8986ce89716b,"And now to get ready, each fish was in motion.",,1809,/collections/mermaid-at-home/mermaid-3.jpeg,1000,814,,human-animal-hybrid
c97b97d8-34bb-4b44-9d28-de6628198365,"The Cod-fish from newfoundland bank, found its way.",,1809,/collections/mermaid-at-home/mermaid-4.jpeg,1000,821,,human-animal-hybrid
0e067d93-749a-4bf8-a5a8-9dffa69b76ae,"Old Wife, mostly high provok’d, that by the tobacco-pipe-fish, she’d been smok’d.",,1809,/collections/mermaid-at-home/mermaid-5.jpeg,1000,855,,human-animal-hybrid
76725327-4ea3-4a46-b1da-5fbdab6e4397,"That notable gambler, the Shark.",,1809,/collections/mermaid-at-home/mermaid-6.jpeg,1000,815,,human-animal-hybrid
fc791349-e5e9-4bff-8720-359693e2cf8e,"And the dignified dolphin, the pattern of fashion.",,1809,/collections/mermaid-at-home/mermaid-7.jpeg,1000,821,,human-animal-hybrid
6c544346-ae0a-4b75-b750-4a70afaf11a1,His Majesty spouted.,,1809,/collections/mermaid-at-home/mermaid-8.jpeg,1000,818,,human-animal-hybrid
698ed929-edde-4234-b108-20d35f51dc3a,,Anton Seder,1896,/collections/das-thier-in-der-decorativen-kunst/gri_33125013920190_0024.jpg,1626,2144,,"beasts,fantastical-creatures,human-animal-hybrid"
