file,uuid,title,artist,date,w,h,tags,status
what-is-it-asked-jason__cb6f17bb.jpg,cb6f17bb-160d-4b3b-bf63-76636b46d8fb,“What is it?” asked Jason,Nathaniel Hawthorne,1921,620,826,stars,have
strangers-to-the-universal-panic__8e8b9290.jpg,8e8b9290-4a53-47eb-9aaa-e729eb2fc141,“Strangers to the Universal Panic.”,Camille Flammarion,1894,700,709,stars,have
it-was-the-corpse__25c9bc38.jpg,25c9bc38-d7f4-4d53-a3da-c1a322e8d6b1,It Was the Corpse,Émile-Antoine Bayard,1870,545,800,"moon,stars",have
can-you-imagine__53dc10ae.jpg,53dc10ae-827d-4ea7-86c0-281b744e7eee,Can You Imagine,Émile-Antoine Bayard,1870,539,800,"moon,stars",have
an-hour__b9ca6ada.jpg,b9ca6ada-401b-4367-a7bc-847b3c3831b2,An Hour,Émile-Antoine Bayard,1870,541,800,"moon,stars",have
i-would-have-taken-on-the-attributes-of-a-chimera__bae0000b.jpg,bae0000b-1ded-4ff8-ab9d-7583a0d590aa,I Would Have Taken on the Attributes of a Chimera,Émile-Antoine Bayard,1870,538,800,"moon,stars",have
a-lunar-colic__d31db837.jpg,d31db837-4f17-4955-b66a-e408d1a80dfa,A Lunar Colic,Émile-Antoine Bayard,1870,540,800,"moon,stars",have
untitled__bbaa9c12.jpg,bbaa9c12-f2ec-4587-8c1f-67f1769905ba,,,1847,1085,746,"moon,stars",have
untitled__b8bda4de.jpg,b8bda4de-5dd0-4a3d-95e8-eeb7c0859567,,,1847,630,465,stars,have
the-heart-of-man-who-after-his-conversion-has-fallen-again-i__ae47597f.jpg,ae47597f-bc44-4c7f-9d7c-f429968b8234,"The Heart of Man Who After His Conversion Has Fallen Again Into Former Sins, And Is Now Entirely In the Power of Satan",Johannes Gossner,1851,682,1024,stars,have
formation-photograph-of-the-american-flag-sailors-near-great__266a2686.jpg,266a2686-8ffc-4b01-9e49-a3c96e9e59f7,"Formation photograph of the American flag; sailors, near Great Lakes.",Arthur Mole; John Thomas,ca. 1918,513,640,stars,have
the-human-u-s-shield-30-000-officers-and-men-camp-custer-bat__f872910c.jpg,f872910c-54d5-436b-8397-77498347ebbb,"The Human U.S. Shield; 30,000 officers and men, Camp Custer, Battle Creek, Mich., ca. 1918.",Arthur Mole; John Thomas,ca. 1918,521,640,stars,have
geometric-star__1cbcc606.jpg,1cbcc606-c91c-43cb-9fc0-30291ed21582,Geometric star,,ca. 17th century,578,640,stars,have
parable__adc5e153.jpg,adc5e153-1e0a-4ad3-9bd3-ad79b8e76255,Parable,,1708,559,640,stars,have
the-path-to-the-moon__45482554.jpg,45482554-a87e-40e0-aec4-c3be0bf3c918,The Path to the Moon,W. T. Horton,1898,1199,1479,stars,have
but-the-mother-came-with-such-a-rush-that-he-had-to-hurl-him__63d9a44e.jpg,63d9a44e-3b67-4902-9517-52347ab77279,"""But the mother came with such a rush that he had to hurl himself into the lake to escape her fury.""",Arthur Heming,1925,885,960,stars,have
untitled__efcd7f25.jpg,efcd7f25-ac70-4fa2-a912-b902a9384bf7,,,ca. 1775,620,790,stars,have
dante-and-virgil-with-pope-adrian-v-hugh-capet-and-statius-i__9ca33d94.jpg,9ca33d94-01ef-428f-ab9f-cef00ade434e,"Dante and Virgil with Pope Adrian V, Hugh Capet, and Statius, in Purgatory",,1444–1450,1024,544,stars,have
dante-and-virgil-observing-the-fate-of-the-lustful__aea2d82e.jpg,aea2d82e-d06d-4825-84af-1227b906fe9a,Dante and Virgil observing the fate of the Lustful,,1444–1450,1024,599,stars,have
beatrice-watching-as-dante-kneels-before-adam__efeafc64.jpg,efeafc64-adc1-4256-9509-89e7e82bfb0a,Beatrice watching as Dante kneels before Adam,,1444–1450,1024,492,"stars,zodiac",have
therefore-god-becomes__a03470a0.jpg,a03470a0-94c1-4ad0-a7b4-40778126fce6,Therefore God Becomes...,William Blake,1788,819,1024,stars,have
untitled__1d1a6ae6.jpg,1d1a6ae6-e1e6-42e7-8c44-d1495b0fe912,,Master of San Miniato,15th century,600,789,stars,have
god-s-providence__5ebcf286.jpg,5ebcf286-659e-41aa-8207-69029f76f3cc,“God’s Providence”,,1705,799,576,stars,have
john-l-sullivan__6d64a916.jpg,6d64a916-d3fe-4a3c-b595-8f3d8bc21a93,John L. Sullivan,,1898,692,1024,stars,have
