uuid,title,artist,date,src,w,h,restriction,tags
a51e82eb-be3f-4499-b0cd-8d300e9fc685,Nazareth,,ca. 1900,/collections/photographs-of-palestinian-life/palestine-00124.jpg,4456,2235,,animals
e2db41ad-ac3a-4440-a179-013caa6cd370,Beersheba,,ca. 1910,/collections/photographs-of-palestinian-life/palestine-00095.jpg,6015,4450,,animals
6f204c6a-d6f7-4478-934d-1e6a0fae3c40,Peasant Company with Wife Disrobing Husband,Maria Catharina Prestel; Isaac van Ostade,1783,/collections/maria-catharina-prestel/maria-catharina-prestel-00017.jpg,2968,2472,,animals
854beff3-3cfb-4481-8add-cd1b1b0f31a1,Landscape with Cattle,Maria Catharina Prestel; Georg Wagner,1783,/collections/maria-catharina-prestel/maria-catharina-prestel-00014.jpg,2870,2373,,"animals,livestock,sheep"
65c039f6-e3ef-4622-a274-b1126c79e212,"“The Hare and the Well”, a Creole fairy tale from Louisiana.",Tom Seidmann-Freud,1924,/collections/rabbit-tales/dbbs_derivate_00000176-4.jpg,1774,1420,,"animals,rabbits"
bfb9c099-b4f3-41b2-8b4a-99773d86d7ba,"“Why the Hare Has No Tail”, a Zulu fairy tale.",Tom Seidmann-Freud,1924,/collections/rabbit-tales/dbbs_derivate_00000176-edit-11.jpg,1774,1420,,"animals,birds,cats,rabbits"
b5f9d5d3-7819-4eb7-a82f-ad92d4d6248b,"“The Hare”, a Hudson Bay Inuit fairy tale.",Tom Seidmann-Freud,1924,/collections/rabbit-tales/dbbs_derivate_00000176-2.jpg,1774,1420,,"animals,rabbits"
500ce79f-c9bc-4df2-93c7-7e943abf97bb,View of Lake Patenggang in Java,Franz Wilhelm Junghuhn,1854,/collections/junghuhn-java-album/08-RP-P-2018-1023-edit.jpg,4432,3324,,animals
1196a4be-8eaf-4759-8d67-2f4b2e4a3465,Blackwork print of Apollo sitting with his lyre against a leafless tree,Esaias van Hulsen,1617,/collections/blackwork/blackwork-02.jpg,4084,3914,,"animals,birds"
5ad72413-a919-46f9-9282-639ec281c0e4,Blackwork design for goldsmith work featuring a hunter and a fisherman,Mathais Beitler,1612,/collections/blackwork/blackwork-13.jpeg,3066,2631,,animals
53376b3f-0c1e-44c5-a585-fb7ed084b9a7,Blackwork print with a jug in the middle,Esaias van Hulsen,1617,/collections/blackwork/blackwork-03.jpg,4448,4512,,animals
e3e468c1-d111-4a15-abba-328732be89fb,Blackwork print with animals,Esaias van Hulsen,1617,/collections/blackwork/blackwork-01.jpg,4368,4416,,animals
f8d5f7b9-ea68-426e-8761-b94530047c6f,Blackwork design for goldsmith work with satyrs and maenads,Andreas Gentzsch after Mathais Beitler,1616,/collections/blackwork/blackwork-15.jpeg,2752,2434,,animals
