file,uuid,title,artist,date,w,h,tags,status
blackwork-print-with-animals__e3e468c1.jpg,e3e468c1-d111-4a15-abba-328732be89fb,Blackwork print with animals,Esaias van Hulsen,1617,4368,4416,animals,ok
blackwork-design-for-goldsmith-work-with-satyrs-and-maenads__f8d5f7b9.jpeg,f8d5f7b9-ea68-426e-8761-b94530047c6f,Blackwork design for goldsmith work with satyrs and maenads,Andreas Gentzsch after Mathais Beitler,1616,2752,2434,animals,ok
fox-vulpes-vulpes__02a091b5.jpg,02a091b5-285c-4a47-8799-4b151ab2afe5,Fox (*Vulpes vulpes*),Jacob Goethals (possibly),ca. 1800,929,1200,animals,ok
sowing-man__877ba52b.jpg,877ba52b-0105-47e8-bf9e-f0718a6417c5,Sowing Man,Bernard Essers,1927,1212,1200,animals,ok
the-gin-shop__c2802a80.jpeg,c2802a80-d0b6-492e-861f-561171ad5e29,The Gin Shop,George Cruikshank,1829,1686,1410,animals,ok
untitled__2a7e28b4.jpeg,2a7e28b4-a946-4061-acc3-3beb72fb7af6,,Madame B,ca. 1870s,3000,2089,animals,ok
untitled__72e06df2.jpg,72e06df2-d511-4203-81e2-3f3a1bc8d932,,Madame B,ca. 1870s,3000,2111,"animals,bats",ok
untitled__eb277b94.jpg,eb277b94-0b02-4294-a457-74523e43491d,,Madame B,ca. 1870s,3000,2099,"animals,dogs",ok
three-folios-from-a-persian-manuscript-of-i-kal-lah-wa-dimna__45d1795b.jpg,45d1795b-c5af-4e1d-9585-393194c65c26,Three Folios from a Persian Manuscript of <i>Kalīlah wa-Dimnah</i>,,ca. 1010,1819,1203,"animals,birds",ok
the-greedy-dog__5e2a7b16.jpeg,5e2a7b16-5568-4149-85bf-41ef0d4d264e,The Greedy Dog,,ca. 1310,2175,1740,"animals,deer,lions",ok
mouse-gnawing-at-a-net-imprisoning-doves__53283bc4.jpeg,53283bc4-893f-44e0-8926-ec87a4f30bf1,Mouse Gnawing at a Net Imprisoning Doves,,ca. 1525–50,2430,2662,"animals,birds",ok
turtle-ferrying-a-monkey__62685dfd.jpeg,62685dfd-20bb-42e8-bafd-f8f3a85b6af6,Turtle Ferrying a Monkey,,ca. 1525–50,2548,2100,"animals,lions",ok
kal-lah-reprimanding-dimnah__60efd3e6.jpeg,60efd3e6-20d7-4384-8f4f-a36602b3f6d4,Kalīlah Reprimanding Dimnah,,ca. 1525–50,2435,2516,"animals,dogs",ok
monkey-attempting-carpentry-and-inadvertently-catching-his-t__74fecb60.jpeg,74fecb60-823e-4361-8fbe-d4ba6f1d58a1,Monkey Attempting Carpentry and Inadvertently Catching His Testicles in the Split,,ca. 1525–50,2569,3279,animals,ok
the-ascetic-his-guest-and-a-mouse-eating-their-rations__709718d6.jpeg,709718d6-0fb7-44c6-b9c1-bed7d3db0316,"The Ascetic, His Guest, and a Mouse Eating Their Rations",,ca. 1525–50,2403,2440,"animals,monkeys",ok
the-tale-of-the-ducks-and-the-turtle__90d206b9.jpeg,90d206b9-668c-4960-bbbd-a0340e7957a3,The Tale of the Ducks and the Turtle,,1310,2124,1652,animals,ok
kal-lah-and-dimnah-discussing-the-latter-s-scheme-to-insert-__94a78c0b.jpeg,94a78c0b-a233-40b0-adfb-99b5e03fc0ba,Kalīlah and Dimnah Discussing the Latter’s Scheme to Insert Himself into the Confidence of the King,,ca. 1525–50,2555,1616,"animals,deer,dogs,wildlife",ok
rabbit-using-the-reflection-of-a-lion-to-trick-him-into-drow__cc04af54.jpeg,cc04af54-1d1c-4c27-b5f6-9ea559cbf30b,Rabbit Using the Reflection of a Lion to Trick Him into Drowning,,1310,2056,1556,"animals,lions",ok
dimnah-in-jail-for-trickin-the-lion__ea0d1eec.jpeg,ea0d1eec-0a67-402a-b7fa-6dec3c994e55,Dimnah in Jail for Trickin the Lion,,1310,2132,1852,animals,ok
untitled__cfece78b.jpg,cfece78b-752d-4ba1-89ab-e39ce280bd24,,Thomas Smillie,1890–1913,2048,1590,"animals,birds",ok
vampyre__14e6b862.jpeg,14e6b862-e24e-457e-9868-6feeca78b880,Vampyre,Henry L. Stephens,1851,3368,2113,"animals,bats,birds",ok
butcher-birds__19ffd8c9.jpeg,19ffd8c9-d20c-4ed5-9683-3b0e36d5a5c1,Butcher Birds,Henry L. Stephens,1851,2272,3388,"animals,birds",ok
wharf-rat__289e1645.jpeg,289e1645-60b8-48f6-a96c-7fac7b37db59,Wharf Rat,Henry L. Stephens,1851,3320,2300,"animals,rats",ok
same-old-coon__47714ebd.jpeg,47714ebd-fd58-4a76-87b2-3bc2302b93ce,Same Old Coon,Henry L. Stephens,1851,2344,3460,animals,ok
son-fish-sucker__4f1e37d1.jpeg,4f1e37d1-3ab6-43e8-94bc-e7861415277e,Son Fish / Sucker,Henry L. Stephens,1851,2992,2220,"animals,fish",ok
gold-fish__5d70be4a.jpg,5d70be4a-24b7-4434-8601-bc441c9f552e,Gold Fish,Henry L. Stephens,1851,3174,2174,"animals,fish,goldfish",ok
gallows-bird__534d2a96.jpeg,534d2a96-bc4f-40c7-a6e5-364ece96aea7,Gallows Bird,Henry L. Stephens,1851,2217,2920,"animals,birds",ok
humming-bird__6e304d78.jpg,6e304d78-c7c9-4081-87b5-5e8381aaff59,Humming Bird,Henry L. Stephens,1851,2261,3049,"animals,birds,hummingbirds",ok
milliner-bird__6cc51b6d.jpeg,6cc51b6d-5603-462a-b580-ecfd010f349b,Milliner Bird,Henry L. Stephens,1851,2248,2948,"animals,birds",ok
little-dear__776fad3b.jpeg,776fad3b-56c0-4752-a5a7-d48d219986f7,Little Dear,Henry L. Stephens,1851,2084,3132,"animals,deer",ok
jail-bird__752aaddb.jpeg,752aaddb-dd01-4a77-a838-6d94e42f135d,Jail Bird,Henry L. Stephens,1851,2124,2652,"animals,birds",ok
gudgeon-shark__71da26f6.jpeg,71da26f6-38b3-4981-941c-68c3aebdab58,Gudgeon Shark,Henry L. Stephens,1851,3003,1977,"animals,fish",ok
widow-bird__890a652b.jpeg,890a652b-866c-4413-ab72-5da803d4fe92,Widow Bird,Henry L. Stephens,1851,2204,3040,"animals,birds",ok
one-of-the-rats__9db9f5aa.jpeg,9db9f5aa-39ee-4c87-86a0-5121c6ff5ea2,One of the Rats,Henry L. Stephens,1851,2919,2078,"animals,rats",ok
lark__9bb6bb58.jpeg,9bb6bb58-ce4d-4ce6-98b6-699ef42d4cb2,Lark,Henry L. Stephens,1851,2368,3184,"animals,birds",ok
hum-bug__9a140eea.jpg,9a140eea-5c97-467f-8602-914d6a7a352f,Hum-Bug,Henry L. Stephens,1851,2092,3072,"animals,beetles",ok
woodpecker__02f79a99.jpg,02f79a99-05bf-4c2c-b48a-b62328458502,Woodpecker,Henry L. Stephens,1851,2326,3234,"animals,birds",ok
giraffe__0166d794.jpg,0166d794-9bec-482c-a9ed-eacfb394f595,Giraffe,Henry L. Stephens,1851,2160,3200,animals,ok
king-bird__afc169d0.jpg,afc169d0-94b1-4ed7-acc0-1d30e6e608f5,King Bird,Henry L. Stephens,1851,2292,3456,"animals,bees,birds",ok
alms-house-bird__ab8f07f0.jpeg,ab8f07f0-69a9-4d66-acc0-ed8cfd329c96,Alms House Bird,Henry L. Stephens,1851,2243,3312,"animals,birds",ok
the-comic-natural-history__a870aa6c.jpg,a870aa6c-d273-4ef1-9910-33e75b6a599c,The Comic Natural History,Henry L. Stephens,1851,2562,3996,"animals,birds",ok
night-hawk__b6243058.jpeg,b6243058-9f84-4cec-91f0-95a17afd7194,Night Hawk,Henry L. Stephens,1851,2296,3172,"animals,birds",ok
mac-arel__be7e0cf7.jpeg,be7e0cf7-6b5c-43aa-b91b-a90c1b9808f7,Mac-Arel,Henry L. Stephens,1851,2856,1896,"animals,birds,fish",ok
old-shad-young__d54c3df7.jpeg,d54c3df7-2929-48a7-8bc0-6ffd2d62212d,Old Shad & Young,Henry L. Stephens,1851,3356,2120,"animals,fish",ok
sun-bird__f85acb95.jpg,f85acb95-f0a6-4921-b4b3-a8c57d1a5d07,Sun Bird,Henry L. Stephens,1851,2360,3312,"animals,birds",ok
catamaran-speel-s-owl__f061bbad.jpg,f061bbad-3285-41f2-926b-60db1fca37c4,Catamaran Speel's Owl,Henry L. Stephens,1851,2272,3260,"animals,birds,lions,owls",ok
alligator-and-spectators-during-feeding-time__1ecc1781.jpg,1ecc1781-575d-4b5e-b4a3-4c156580b408,Alligator and spectators during feeding time,,ca. 1907,5100,4088,"animals,reptiles",ok
four-year-old-alligators-sunning__2d6539c8.jpg,2d6539c8-372c-456f-bddb-0edca00f219c,Four-year old alligators sunning,,ca. 1907,5100,4082,"animals,reptiles",ok
young-alligators__399b68a1.jpg,399b68a1-5b04-41d2-abf4-381ce0eb3814,Young alligators,,ca. 1907,6300,5000,"animals,reptiles",ok
mother-alligator-with-her-congregation__3070ffd3.jpg,3070ffd3-952e-4d45-88ba-2709697fa400,Mother alligator with her congregation,,ca. 1907,5100,4081,"animals,reptiles",ok
alligator-named-big-mug__3673c327.jpg,3673c327-2bd3-47ae-bc82-b272b6a23316,Alligator named Big Mug,,ca. 1907,5100,4058,"animals,reptiles",ok
hypnotising-an-alligator__459ef335.jpg,459ef335-598e-4d20-8669-6df59b5c649e,Hypnotising an alligator,,ca. 1907,6143,4867,"animals,reptiles",ok
walking-an-alligator-on-lead__4a443cc5.jpg,4a443cc5-82da-47a3-a950-f6d2e68751f2,Walking an alligator on lead,,ca. 1907,5100,4047,"animals,reptiles",ok
young-alligators-in-a-pen__4280382d.jpg,4280382d-d2c5-4bce-ac52-5f45d4901c3d,Young alligators in a pen,,ca. 1907,5100,4102,"animals,reptiles",ok
alligator-sunning__782824fa.jpg,782824fa-4187-44ed-b7a2-b1c9ee6b05d8,Alligator sunning,,ca. 1907,6300,5000,"animals,reptiles",ok
tickling-an-alligator__7602e604.jpg,7602e604-90af-4810-b6c3-2c014b882f99,Tickling an alligator,,ca. 1907,5100,4105,"animals,reptiles",ok
alligators-and-their-pond__880f47e2.jpg,880f47e2-2600-4266-a9e7-50455edb253c,Alligators and their pond,,ca. 1907,6418,4988,"animals,reptiles",ok
hypnotising-an-alligator__ba435f7f.jpg,ba435f7f-839c-4a28-8e92-26993d9ceb6b,Hypnotising an alligator,,ca. 1907,5100,4082,"animals,reptiles",ok
alligators-going-down-a-toboggan-slide__bed24ade.jpg,bed24ade-66f2-4171-ab08-24b0e34b7c5c,Alligators going down a toboggan slide,,ca. 1907,5100,4075,"animals,reptiles",ok
feeding-the-alligators__bba07760.jpg,bba07760-7633-4358-b254-14059abbc130,Feeding the alligators,,ca. 1907,5100,4117,"animals,reptiles",ok
alligator-named-okeechobee__c6a86782.jpg,c6a86782-1c8b-44f6-8fdc-8b6c7eb38cd8,Alligator named Okeechobee,,ca. 1907,5100,4096,"animals,reptiles",ok
alligator-purse-above-incubator__c461cea6.jpg,c461cea6-2e14-47e9-ba60-a7633b02d464,Alligator purse above incubator,,ca. 1907,5100,4079,"animals,reptiles",ok
child-playing-with-young-alligators__c17bfece.jpg,c17bfece-0a85-4f58-882b-d3ccda541bad,Child playing with young alligators,,ca. 1907,5100,4086,"animals,reptiles",ok
keeper-feeding-what-looks-to-be-a-chicken-to-an-alligator__f8070bc9.jpg,f8070bc9-ed63-41a2-a6ad-6b56222af82d,Keeper feeding what looks to be a chicken to an alligator,,ca. 1907,5100,4082,"animals,reptiles",ok
