file,uuid,title,artist,date,w,h,tags,status
illustration-featuring-planta-tartarica-boromez-and-other-ve__a586101b.jpg,a586101b-4a05-4379-9d11-6f0cb259b23c,Illustration featuring 'Planta Tartarica Boromez' and other vegetal creatures,,1696,1627,2612,"animal-hybrid,fantastical-creatures,hybrid-figures,mythological-creatures",ok
frontispiece-depicting-the-garden-of-eden__e33ccbc2.jpg,e33ccbc2-398e-4fc1-89cd-745a1c07a34e,Frontispiece depicting the Garden of Eden,Christopher Switzer,1629,2695,4307,"animal-hybrid,fantastical-creatures,hybrid-figures,mythological-creatures",ok
rhizome-of-a-fern-shaped-by-the-chinese-to-represent-a-tan-c__367e46ab.jpg,367e46ab-8136-4a6a-9117-8f48d25d9312,"Rhizome of a fern, shaped by the Chinese to represent a tan-coloured dog",,1887,3536,1984,"animal-hybrid,fantastical-creatures,hybrid-figures,mythological-creatures",ok
barometz-or-agnus-scythycus__fe235f57.jpg,fe235f57-bf33-49f0-b579-11e065d7748f,Barometz or Agnus Scythycus,William Hibbart,1791,3792,2388,"animal-hybrid,fantastical-creatures,hybrid-figures,mythological-creatures",ok
agnus-scythycus-borometz__fa48236d.jpg,fa48236d-f2e5-4126-ae48-1a76f776e0ae,Agnus scythycus borometz,Elizabeth Blackwell,1750–1773,2998,2954,"animal-hybrid,fantastical-creatures,hybrid-figures,mythological-creatures",ok
mythical-animals-including-a-vegetable-lamb__200877e8.jpg,200877e8-385c-4637-b456-08a890589252,"Mythical animals, including a vegetable lamb",,1801,2196,1764,"animal-hybrid,dragons,fantastical-creatures,hybrid-figures,mythological-creatures",ok
miniature-of-the-bal-des-ardents__c64a09ce.jpg,c64a09ce-9be5-42f1-ab38-d002fa1abdd8,Miniature of the Bal des Ardents,Master of the Harley Froissart,ca. 1470–72,1288,960,hybrid-figures,ok
untitled__37389348.jpeg,37389348-f644-4061-8790-775d16affbc5,,,ca. 1350,791,638,"bestiary,hybrid-figures",ok
untitled__6b4c2044.jpeg,6b4c2044-6f6e-4063-9a3d-1fd7b11e58e5,,,ca. 1350,812,527,"bestiary,hybrid-figures",ok
untitled__b8873d57.jpeg,b8873d57-fa1a-45dd-b586-64b97cb0e9ca,,,ca. 1350,743,759,"bestiary,hybrid-figures",ok
carved-gem-stone-the-siren-thought-to-hail-from-ancient-napl__629e7777.jpg,629e7777-0656-45ca-830a-a24d88c7f3d7,"Carved gem stone the Siren, thought to hail from ancient Naples.",Filippo Palizzi,1778,650,939,hybrid-figures,ok
ring-shaped-gem-depicting-a-hybrid-figure-a-mix-of-a-butterf__db44a7b0.jpg,db44a7b0-4300-4bd8-84e4-b1875f0e4093,"Ring shaped gem depicting a hybrid figure, a mix of a butterfly and a male youth.",Filippo Palizzi,1778,650,915,hybrid-figures,ok
bonnacon__1a62508f.jpg,1a62508f-b10c-4e2d-9217-680c582e0f0c,Bonnacon,,ca. 1175,3718,2652,bestiary,ok
bonnacon__874939de.jpg,874939de-b92c-42b0-8535-356ab30611a8,Bonnacon,,ca. 1450,1197,742,bestiary,ok
bonnacon__802148ee.jpg,802148ee-fa15-42f0-ac0b-01983826d960,Bonnacon,,ca. 1260,1542,1218,bestiary,ok
bonnacon__a117a3cf.jpg,a117a3cf-f145-4f69-908f-2b5cf4dc963a,Bonnacon,,ca. 1230,1632,1568,bestiary,ok
bonnacon__dc0f37ec.jpg,dc0f37ec-6c48-4694-9d5c-25896d0621a5,Bonnacon,,ca. 1500,1824,2324,bestiary,ok
bonnacon__dfef5a79.jpg,dfef5a79-4073-4df0-88f0-1fff59fcfa20,Bonnacon,,ca. 1200,1500,1056,bestiary,ok
untitled__183d9acc.jpeg,183d9acc-acee-47c5-b8a0-247f75da6b70,,,ca. 1350,803,513,bestiary,ok
untitled__14ddbde5.jpeg,14ddbde5-514b-4efa-bc9b-c4a77718e596,,,ca. 1350,746,550,bestiary,ok
untitled__1240536b.jpeg,1240536b-8a10-439f-b28d-8107acf9b7a6,,,ca. 1350,792,515,bestiary,ok
untitled__148a9fe0.jpeg,148a9fe0-a9ab-44dc-91c9-190d56a87127,,,ca. 1350,735,702,bestiary,ok
untitled__2610007b.jpeg,2610007b-8d8c-456e-892f-f6e14209cdee,,,ca. 1350,796,498,bestiary,ok
untitled__26f51d2b.jpeg,26f51d2b-df57-4184-acf9-8b1522b7882b,,,ca. 1350,871,768,bestiary,ok
