name,file,sheet,px_w,px_h,source,old_file
Ruellia simplex,ruellia-simplex-07-14.png,ruellia-simplex-07,51,49,ruellia-simplex-bpyrnk,ruellia-simplex-bpyrnk-14.png
Ruellia simplex,ruellia-simplex-07-15.png,ruellia-simplex-07,37,238,ruellia-simplex-bpyrnk,ruellia-simplex-bpyrnk-15.png
Ruellia simplex,ruellia-simplex-07-16.png,ruellia-simplex-07,48,219,ruellia-simplex-bpyrnk,ruellia-simplex-bpyrnk-16.png
Ruellia simplex,ruellia-simplex-07-17.png,ruellia-simplex-07,34,245,ruellia-simplex-bpyrnk,ruellia-simplex-bpyrnk-17.png
Ruellia simplex,ruellia-simplex-07-18.png,ruellia-simplex-07,39,252,ruellia-simplex-bpyrnk,ruellia-simplex-bpyrnk-18.png
Ruellia simplex,ruellia-simplex-07-19.png,ruellia-simplex-07,38,230,ruellia-simplex-bpyrnk,ruellia-simplex-bpyrnk-19.png
Ruellia simplex,ruellia-simplex-07-20.png,ruellia-simplex-07,35,240,ruellia-simplex-bpyrnk,ruellia-simplex-bpyrnk-20.png
Ruellia simplex,ruellia-simplex-07-21.png,ruellia-simplex-07,45,156,ruellia-simplex-bpyrnk,ruellia-simplex-bpyrnk-21.png
Ruellia simplex,ruellia-simplex-07-22.png,ruellia-simplex-07,129,52,ruellia-simplex-bpyrnk,ruellia-simplex-bpyrnk-22.png
Ruellia simplex,ruellia-simplex-07-23.png,ruellia-simplex-07,105,45,ruellia-simplex-bpyrnk,ruellia-simplex-bpyrnk-23.png
Ruellia simplex,ruellia-simplex-07-24.png,ruellia-simplex-07,177,47,ruellia-simplex-bpyrnk,ruellia-simplex-bpyrnk-24.png
Ruellia simplex,ruellia-simplex-10-01.png,ruellia-simplex-10,250,367,ruellia-simplex-k9nxat,ruellia-simplex-k9nxat-01.png
Ruellia simplex,ruellia-simplex-10-02.png,ruellia-simplex-10,70,224,ruellia-simplex-k9nxat,ruellia-simplex-k9nxat-02.png
Ruellia simplex,ruellia-simplex-10-03.png,ruellia-simplex-10,145,296,ruellia-simplex-k9nxat,ruellia-simplex-k9nxat-03.png
Ruellia simplex,ruellia-simplex-10-04.png,ruellia-simplex-10,102,166,ruellia-simplex-k9nxat,ruellia-simplex-k9nxat-04.png
Ruellia simplex,ruellia-simplex-10-05.png,ruellia-simplex-10,219,189,ruellia-simplex-k9nxat,ruellia-simplex-k9nxat-05.png
Ruellia simplex,ruellia-simplex-10-06.png,ruellia-simplex-10,136,42,ruellia-simplex-k9nxat,ruellia-simplex-k9nxat-06.png
Ruellia simplex,ruellia-simplex-05-01.png,ruellia-simplex-05,39,223,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-01.png
Ruellia simplex,ruellia-simplex-05-02.png,ruellia-simplex-05,54,484,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-02.png
Ruellia simplex,ruellia-simplex-05-03.png,ruellia-simplex-05,38,231,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-03.png
Ruellia simplex,ruellia-simplex-05-04.png,ruellia-simplex-05,36,236,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-04.png
Ruellia simplex,ruellia-simplex-05-05.png,ruellia-simplex-05,37,215,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-05.png
Ruellia simplex,ruellia-simplex-05-06.png,ruellia-simplex-05,33,209,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-06.png
Ruellia simplex,ruellia-simplex-05-07.png,ruellia-simplex-05,47,171,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-07.png
Ruellia simplex,ruellia-simplex-05-08.png,ruellia-simplex-05,87,298,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-08.png
Ruellia simplex,ruellia-simplex-05-09.png,ruellia-simplex-05,38,239,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-09.png
Ruellia simplex,ruellia-simplex-05-10.png,ruellia-simplex-05,49,249,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-10.png
Ruellia simplex,ruellia-simplex-05-11.png,ruellia-simplex-05,35,247,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-11.png
Ruellia simplex,ruellia-simplex-05-12.png,ruellia-simplex-05,43,237,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-12.png
Ruellia simplex,ruellia-simplex-05-13.png,ruellia-simplex-05,39,229,ruellia-simplex-3ypqxq,ruellia-simplex-3ypqxq-13.png
Ruellia simplex,ruellia-simplex-15-01.png,ruellia-simplex-15,505,494,ruellia-simplex-wjt57r,ruellia-simplex-wjt57r-01.png
